"userId","articleId","timeSpent","date"
"65fd330b85a20fc084e1168b","666ee0ba2748242e4dc64430",211570,"2024-06-16T00:00:00.000Z"
"65fd330b85a20fc084e1168b","666ee0d92748242e4dc6443c",44654,"2024-06-16T00:00:00.000Z"
"65fd330b85a20fc084e1168b","666ee0c62748242e4dc64438",106319,"2024-06-16T00:00:00.000Z"
"666fdd7d2748242e4dcd977e","666e72b0943ea5c44159141d",24455,"2024-06-17T00:00:00.000Z"
"65f300509edbd593b5293db2","666fc1c32748242e4dcd9669",185987,"2024-06-17T00:00:00.000Z"
"65f300509edbd593b5293db2","666fc1fd2748242e4dcd9670",44012,"2024-06-17T00:00:00.000Z"
"65f300509edbd593b5293db2","666d925c943ea5c44151c3aa",9216,"2024-06-17T00:00:00.000Z"
"65f300509edbd593b5293db2","66699ec3b569271700f91d8d",11111,"2024-06-17T00:00:00.000Z"
"65f300509edbd593b5293db2","66661b16e25f18ad60ff941e",97140,"2024-06-17T00:00:00.000Z"
"65f300509edbd593b5293db2","666fc1b62748242e4dcd9665",153038,"2024-06-17T00:00:00.000Z"
"65f300509edbd593b5293db2","666ee0dd2748242e4dc64440",132465,"2024-06-17T00:00:00.000Z"
"65f300509edbd593b5293db2","666f51372748242e4dcd93e3",5751,"2024-06-17T00:00:00.000Z"
"65f300509edbd593b5293db2","666f51412748242e4dcd93e8",210796,"2024-06-17T00:00:00.000Z"
"65f6b9f0ba995a8fd4acee64","666fc1b02748242e4dcd9661",74246,"2024-06-17T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666fc4b72748242e4dcd9759",464831,"2024-06-17T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","66711333261754a948496b4f",82609,"2024-06-18T00:00:00.000Z"
"65f300509edbd593b5293db2","66711342261754a948496b57",204701,"2024-06-18T00:00:00.000Z"
"65f300509edbd593b5293db2","6670a2e6261754a9484969ee",222608,"2024-06-18T00:00:00.000Z"
"65f300509edbd593b5293db2","66699ec3b569271700f91d8d",6390,"2024-06-18T00:00:00.000Z"
"65f300509edbd593b5293db2","667115ce261754a948496c3f",150079,"2024-06-18T00:00:00.000Z"
"65f300509edbd593b5293db2","666f53532748242e4dcd9480",171336,"2024-06-18T00:00:00.000Z"
"65f300509edbd593b5293db2","666f534e2748242e4dcd947c",153674,"2024-06-18T00:00:00.000Z"
"65f300509edbd593b5293db2","666ee2482748242e4dc644d0",151099,"2024-06-18T00:00:00.000Z"
"65f300509edbd593b5293db2","667113ce261754a948496b85",1362460,"2024-06-18T00:00:00.000Z"
"66210e6094d2c53bd0b70ccc","666e71b9943ea5c4415913c0",317847,"2024-06-18T00:00:00.000Z"
"66210e6094d2c53bd0b70ccc","6670a483261754a948496a2b",11836,"2024-06-18T00:00:00.000Z"
"66210e6094d2c53bd0b70ccc","66703396261754a94842132d",49996,"2024-06-18T00:00:00.000Z"
"66210e6094d2c53bd0b70ccc","667113f5261754a948496b9d",379349,"2024-06-18T00:00:00.000Z"
"65f300509edbd593b5293db2","667113d9261754a948496b8d",302969,"2024-06-18T00:00:00.000Z"
"65f300509edbd593b5293db2","6670a450261754a948496a17",199898,"2024-06-18T00:00:00.000Z"
"65f300509edbd593b5293db2","6670a461261754a948496a1f",174374,"2024-06-18T00:00:00.000Z"
"65f300509edbd593b5293db2","6672d5423ebb9139411bf479",14350,"2024-06-19T00:00:00.000Z"
"65f300509edbd593b5293db2","6672d6433ebb9139411bf4af",144681,"2024-06-19T00:00:00.000Z"
"66210e6094d2c53bd0b70ccc","6672d7a73ebb9139411bf4fa",250913,"2024-06-19T00:00:00.000Z"
"65f300509edbd593b5293db2","667348553ebb913941235f56",187106,"2024-06-20T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","667345ba3ebb913941235ea4",158458,"2024-06-20T00:00:00.000Z"
"66210e6094d2c53bd0b70ccc","6673b6363ebb913941236266",373787,"2024-06-20T00:00:00.000Z"
"66210e6094d2c53bd0b70ccc","667264cc3ebb9139411beec6",16026,"2024-06-20T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","66749772928c5fb2c1373ca7",68538,"2024-06-21T00:00:00.000Z"
"66210e6094d2c53bd0b70ccc","667509cf928c5fb2c1373fbe",734044,"2024-06-21T00:00:00.000Z"
"653548118a2815874166fa66","66750a07928c5fb2c1373fcf",217578,"2024-06-21T00:00:00.000Z"
"667557372a8b43976f123917","66750a07928c5fb2c1373fcf",235033,"2024-06-21T00:00:00.000Z"
"661e264bf8d0f4142aba55f0","667427ef928c5fb2c1334b32",80312,"2024-06-21T00:00:00.000Z"
"661e264bf8d0f4142aba55f0","6675089b928c5fb2c1373f5c",377440,"2024-06-21T00:00:00.000Z"
"653548118a2815874166fa66","667507b2928c5fb2c1373f04",454900,"2024-06-21T00:00:00.000Z"
"66755e752a8b43976f130dd7","667507b2928c5fb2c1373f04",241776,"2024-06-21T00:00:00.000Z"
"653548118a2815874166fa66","667507b9928c5fb2c1373f08",4208,"2024-06-21T00:00:00.000Z"
"664f4da8a486da371ef025b8","667507b2928c5fb2c1373f04",191834,"2024-06-21T00:00:00.000Z"
"664f4da8a486da371ef025b8","667507b9928c5fb2c1373f08",165011,"2024-06-21T00:00:00.000Z"
"664f4da8a486da371ef025b8","66750a39928c5fb2c1373fe3",272352,"2024-06-21T00:00:00.000Z"
"6675684c9e0022d1bedfab82","66750bb5928c5fb2c137401a",420322,"2024-06-21T00:00:00.000Z"
"653548118a2815874166fa66","66750bb5928c5fb2c137401a",225872,"2024-06-21T00:00:00.000Z"
"664f4da8a486da371ef025b8","6675090a928c5fb2c1373f84",223899,"2024-06-21T00:00:00.000Z"
"664f4da8a486da371ef025b8","667498f0928c5fb2c1373d0f",4208,"2024-06-21T00:00:00.000Z"
"664f4da8a486da371ef025b8","667347033ebb913941235ef0",6468,"2024-06-21T00:00:00.000Z"
"664f4da8a486da371ef025b8","667265c73ebb9139411bef00",567201,"2024-06-21T00:00:00.000Z"
"65f300509edbd593b5293db2","667578429e0022d1bedfb18a",94826,"2024-06-21T00:00:00.000Z"
"653548118a2815874166fa66","6675090a928c5fb2c1373f84",4922,"2024-06-21T00:00:00.000Z"
"6675932f9e0022d1bedfbd9a","66757b499e0022d1bedfb244",120332,"2024-06-21T00:00:00.000Z"
"667594cd9e0022d1bedfbf33","66742a34928c5fb2c1334bbf",374227,"2024-06-21T00:00:00.000Z"
"66210e6094d2c53bd0b70ccc","6675795e9e0022d1bedfb1d2",10293,"2024-06-21T00:00:00.000Z"
"6675684c9e0022d1bedfab82","66749977928c5fb2c1373d45",316258,"2024-06-21T00:00:00.000Z"
"66210e6094d2c53bd0b70ccc","66742862928c5fb2c1334b51",518456,"2024-06-21T00:00:00.000Z"
"6675684c9e0022d1bedfab82","667348323ebb913941235f46",96115,"2024-06-21T00:00:00.000Z"
"6675684c9e0022d1bedfab82","667348323ebb913941235f46",9080,"2024-06-21T00:00:00.000Z"
"6675684c9e0022d1bedfab82","6673b8ee3ebb91394123653e",268993,"2024-06-21T00:00:00.000Z"
"6675684c9e0022d1bedfab82","66742886928c5fb2c1334b55",196161,"2024-06-21T00:00:00.000Z"
